               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.040772,            0.012777,            0.024975,             0.67832,             0.77134,             0.85322,             0.61121,            0.032761,            0.012451,            0.028523,           0.0065659,           0.0065659,           0.0065659
                 113,             0.03345,            0.013107,            0.025632,              0.6157,             0.77006,             0.82397,             0.51711,            0.034269,            0.013094,            0.027713,            0.006535,            0.006535,            0.006535
                 114,            0.032707,            0.012895,            0.025243,             0.52993,               0.875,             0.82058,             0.59524,            0.031841,            0.012424,            0.027443,           0.0065041,           0.0065041,           0.0065041
                 115,            0.028496,            0.011326,            0.027117,             0.50104,             0.92032,             0.88207,             0.56556,            0.038938,            0.013376,             0.02677,           0.0064731,           0.0064731,           0.0064731
                 116,            0.040073,            0.015001,            0.025652,             0.52623,             0.91498,             0.88372,             0.64664,            0.032365,            0.012779,            0.026637,           0.0064422,           0.0064422,           0.0064422
                 117,            0.031359,            0.013145,             0.02478,             0.54948,             0.91659,             0.88817,             0.59133,            0.033597,            0.012869,            0.026395,           0.0064112,           0.0064112,           0.0064112
                 118,            0.032368,            0.012426,            0.024914,             0.55856,             0.91476,             0.89669,             0.59732,            0.030105,            0.012341,            0.026212,           0.0063803,           0.0063803,           0.0063803
                 119,            0.028536,            0.012096,            0.024265,             0.60919,             0.91534,             0.89193,             0.42751,            0.041737,            0.013586,            0.025731,           0.0063494,           0.0063494,           0.0063494
                 120,            0.041289,            0.012508,            0.024689,             0.55208,             0.91533,             0.89293,             0.60278,            0.031348,             0.01255,             0.02552,           0.0063184,           0.0063184,           0.0063184
                 121,            0.033831,            0.012407,            0.023941,             0.54812,             0.91445,             0.89236,             0.55696,            0.035753,            0.013411,            0.025159,           0.0062875,           0.0062875,           0.0062875
                 122,            0.032244,            0.013228,            0.022395,             0.61052,             0.91187,             0.89917,             0.64935,            0.030253,            0.012867,            0.024934,           0.0062566,           0.0062566,           0.0062566
                 123,            0.028069,            0.013201,            0.024186,             0.61557,             0.90769,             0.88138,             0.54749,            0.036369,             0.01317,            0.024605,           0.0062256,           0.0062256,           0.0062256
                 124,             0.03691,            0.013323,            0.025074,             0.69966,             0.90295,              0.8998,             0.60943,            0.030676,            0.012503,             0.02455,           0.0061947,           0.0061947,           0.0061947
                 125,            0.031607,            0.012758,            0.023654,             0.72511,             0.91169,             0.90546,             0.64523,            0.034263,            0.012846,            0.024321,           0.0061637,           0.0061637,           0.0061637
                 126,            0.031407,            0.012988,            0.025237,             0.65732,             0.92383,             0.90609,             0.64703,            0.029982,            0.012392,            0.024147,           0.0061328,           0.0061328,           0.0061328
                 127,            0.027724,            0.011533,            0.021149,               0.719,             0.87865,             0.90663,             0.68723,            0.033802,             0.01222,            0.023868,           0.0061019,           0.0061019,           0.0061019
                 128,             0.03563,            0.013392,            0.021282,             0.76377,             0.91076,             0.91903,             0.63153,            0.033799,            0.012316,            0.023721,           0.0060709,           0.0060709,           0.0060709
                 129,            0.031897,            0.012947,            0.022041,             0.73883,             0.92371,             0.93741,             0.65033,            0.030949,            0.012192,            0.023492,             0.00604,             0.00604,             0.00604
                 130,            0.033474,             0.01278,            0.020065,             0.81216,             0.91067,             0.94042,             0.60708,            0.033579,            0.012131,            0.023351,           0.0060091,           0.0060091,           0.0060091
                 131,            0.028292,            0.011077,            0.021166,             0.67618,             0.90939,             0.89919,             0.59334,            0.033938,            0.012596,            0.022906,           0.0059781,           0.0059781,           0.0059781
                 132,            0.033032,            0.012259,            0.023973,             0.72159,             0.92435,             0.92945,             0.64479,            0.032346,            0.012449,            0.022742,           0.0059472,           0.0059472,           0.0059472
                 133,             0.03182,            0.012566,            0.019186,             0.70313,             0.93987,             0.92152,             0.63068,            0.033774,            0.012877,            0.022375,           0.0059163,           0.0059163,           0.0059163
                 134,            0.031547,            0.013064,            0.019848,              0.7907,             0.91601,             0.93873,             0.67399,            0.033021,            0.012426,            0.022192,           0.0058853,           0.0058853,           0.0058853
                 135,            0.029366,            0.012026,            0.020755,             0.72889,              0.9055,             0.90539,             0.59704,            0.034016,            0.012629,            0.021977,           0.0058544,           0.0058544,           0.0058544
                 136,            0.035791,            0.013465,            0.019608,             0.67353,             0.92754,             0.90539,             0.59034,            0.032176,            0.012732,            0.022073,           0.0058234,           0.0058234,           0.0058234
                 137,            0.030739,            0.011683,            0.021658,             0.77565,             0.90353,              0.9371,             0.60269,            0.032738,            0.012468,            0.021831,           0.0057925,           0.0057925,           0.0057925
                 138,            0.031404,            0.012197,             0.02151,             0.70762,             0.91657,             0.94827,              0.6534,            0.030556,            0.012499,             0.02151,           0.0057616,           0.0057616,           0.0057616
                 139,            0.027757,             0.01281,             0.02065,             0.69788,             0.90634,             0.92224,             0.58992,            0.035207,            0.012966,            0.021048,           0.0057306,           0.0057306,           0.0057306
                 140,            0.033591,            0.011643,            0.018715,             0.70929,             0.91372,             0.97219,             0.69141,             0.03037,            0.012554,            0.020911,           0.0056997,           0.0056997,           0.0056997
                 141,             0.02937,            0.011263,            0.019377,             0.71996,             0.92278,             0.93495,             0.61994,            0.033221,             0.01273,            0.020728,           0.0056688,           0.0056688,           0.0056688
                 142,            0.030051,            0.013081,            0.020717,             0.76115,             0.94121,             0.97322,             0.71478,            0.029448,            0.012213,            0.020517,           0.0056378,           0.0056378,           0.0056378
                 143,            0.027311,            0.011817,             0.01874,             0.69236,             0.92407,             0.96625,             0.68122,            0.033006,            0.012188,            0.020439,           0.0056069,           0.0056069,           0.0056069
                 144,            0.030473,            0.012036,            0.020618,             0.80106,             0.91063,             0.97338,             0.65804,            0.030153,            0.012033,            0.020343,           0.0055759,           0.0055759,           0.0055759
                 145,            0.030832,            0.012963,            0.019211,             0.81236,             0.91787,              0.9788,             0.59626,             0.03238,            0.012362,            0.020169,            0.005545,            0.005545,            0.005545
                 146,            0.031922,            0.012489,            0.019119,             0.78506,             0.93834,             0.97991,             0.74525,            0.031034,            0.012074,            0.019885,           0.0055141,           0.0055141,           0.0055141
                 147,            0.031692,            0.012696,            0.019051,              0.7628,             0.94755,              0.9838,              0.6952,            0.028963,            0.011847,             0.01972,           0.0054831,           0.0054831,           0.0054831
                 148,            0.028893,            0.012838,            0.019661,             0.82014,             0.94995,             0.98254,             0.68397,             0.03001,            0.012215,            0.019601,           0.0054522,           0.0054522,           0.0054522
                 149,            0.031849,            0.012483,            0.019794,             0.74987,             0.95404,             0.94382,             0.58478,            0.031086,            0.012331,            0.019601,           0.0054212,           0.0054212,           0.0054212
